Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Fernanda, Díaz, Sánchez, SALL51, 222111
Sebastián, Herrera, Rodríguez, SALL52, 333222
Valentín, Ramírez, Pérez, SALL53, 444333
Antonella, Gómez, Fernández, SALL54, 555444
Matías, Soto, Ramírez, SALL55, 666555
Renata, León, Martínez, SALL56, 777666
Daniel, Muñoz, García, SALL57, 888777
Constanza, Torres, Molina, SALL58, 999888
Tomás, Salazar, Vega, SALL59, 111999
Isidora, Cordero, Suárez, SALL60, 222000
René, Castro, Navarro, SALL61, 333111
Gabriela, Sánchez, Salazar, SALL62, 444222
Lucas, Mendoza, Vargas, SALL63, 555333
Valeria, Morales, León, SALL64, 666444
Facundo, Navarro, Delgado, SALL65, 777555
Sofía, Ortiz, Ruiz, SALL66, 888666
Matías, Pérez, Herrera, SALL67, 999777
Daniela, Flores, Sánchez, SALL68, 111888
Joaquín, Vega, Castro, SALL69, 222999
Camila, Jiménez, Ramírez, SALL70, 333000
