Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Juan, Martínez, Ramírez, SALL1, 123456
María, González, Fernández, SALL2, 234567
Luis, Hernández, Pérez, SALL3, 345678
Ana, Ortega, Rodríguez, SALL4, 456789
Carlos, Rivera, Sánchez, SALL5, 567890
Laura, Gómez, Martínez, SALL6, 678901
Pedro, Díaz, López, SALL7, 789012
Isabel, Torres, Ramón, SALL8, 890123
Miguel, Rodríguez, Jiménez, SALL9, 901234
Sofía, Mendoza, García, SALL10, 117233
Alejandro, Pérez, Ortiz, SALL11, 223344
Paula, Suárez, Alvarez, SALL12, 334455
Javier, Morales, Cruz, SALL13, 445566
Carmen, Jiménez, Vega, SALL14, 556677
Raúl, Moreno, Delgado, SALL15, 667788
Elena, Gutiérrez, Navarro, SALL16, 778899
Daniel, Ramos, Castro, SALL17, 889900
Marta, Reyes, Guerrero, SALL18, 990011
Roberto, Cabrera, Reyes, SALL19, 112233
Silvia, Flores, Mendoza, SALL20, 224466
Héctor, Ramírez, Soto, SALL21, 336699
Alicia, Vega, Pérez, SALL22, 448822
Jorge, Mendoza, León, SALL23, 551155
Natalia, Rivero, Ruiz, SALL24, 663388
Fernando, Navarro, Alonso, SALL25, 775511
Lucía, García, Guerrero, SALL26, 887744
Andrés, López, Molina, SALL27, 999977
Adriana, Pérez, Martínez, SALL28, 111100
Mateo, Ramírez, Santos, SALL29, 222211
Beatriz, Fernández, Luna, SALL30, 333322
Julia, Sánchez, Rodríguez, SALL31, 444555
Rodrigo, Martínez, Pérez, SALL32, 555666
Camila, Fernández, Díaz, SALL33, 666777
Diego, González, Ramírez, SALL34, 777888
Valentina, Ruiz, Herrera, SALL35, 888999
Mateo, García, Muñoz, SALL36, 999000
Paulina, Ortiz, Vargas, SALL37, 111222
Andrea, Molina, Gómez, SALL38, 222333
Francisco, León, Torres, SALL39, 333444
Carolina, Vega, Salazar, SALL40, 444555
Renato, Suárez, Cordero, SALL41, 555666
Martina, Castro, Navarro, SALL42, 666777
Felipe, Soto, Morales, SALL43, 777888
Valeria, Jiménez, Delgado, SALL44, 888999
Gabriel, Herrera, Sánchez, SALL45, 999000
Catalina, Pérez, Mendoza, SALL46, 111222
Nicolás, Ramón, Flores, SALL47, 222333
Isabella, Mendoza, Torres, SALL48, 333444
Benjamín, Torres, Martínez, SALL49, 444555
Antonia, Delgado, Ramírez, SALL50, 555666
Fernanda, Díaz, Sánchez, SALL51, 222111
Sebastián, Herrera, Rodríguez, SALL52, 333222
Valentín, Ramírez, Pérez, SALL53, 444333
Antonella, Gómez, Fernández, SALL54, 555444
Matías, Soto, Ramírez, SALL55, 666555
Renata, León, Martínez, SALL56, 777666
Daniel, Muñoz, García, SALL57, 888777
Constanza, Torres, Molina, SALL58, 999888
Tomás, Salazar, Vega, SALL59, 111999
Isidora, Cordero, Suárez, SALL60, 222000
René, Castro, Navarro, SALL61, 333111
Gabriela, Sánchez, Salazar, SALL62, 444222
Lucas, Mendoza, Vargas, SALL63, 555333
Valeria, Morales, León, SALL64, 666444
Facundo, Navarro, Delgado, SALL65, 777555
Sofía, Ortiz, Ruiz, SALL66, 888666
Matías, Pérez, Herrera, SALL67, 999777
Daniela, Flores, Sánchez, SALL68, 111888
Joaquín, Vega, Castro, SALL69, 222999
Camila, Jiménez, Ramírez, SALL70, 333000
Martín, Suárez, Torres, SALL71, 444111
Abril, Delgado, Gómez, SALL72, 555222
Ignacio, Sánchez, Pérez, SALL73, 666333
Valentina, Vargas, Salazar, SALL74, 777444
Emilio, Rodríguez, Díaz, SALL75, 888555
Catalina, Ramírez, Muñoz, SALL76, 999666
Tomás, Martínez, Herrera, SALL77, 111777
Isabella, Castro, Ramírez, SALL78, 222888
Lautaro, Flores, Mendoza, SALL79, 333999
Antonella, Navarro, Torres, SALL80, 444000
Joaquín, Salazar, León, SALL81, 555111
Renata, Vega, Suárez, SALL82, 666222
Maximiliano, Muñoz, Rodríguez, SALL83, 777333
Lucía, Soto, Gómez, SALL84, 888444
Santiago, Fernández, Díaz, SALL85, 999555
Valentina, Pérez, León, SALL86, 111666
Mateo, Jiménez, Sánchez, SALL87, 222777
Mía, Castro, Salazar, SALL88, 333888
Diego, Sánchez, Mendoza, SALL89, 444999
Martina, Torres, Ramírez, SALL90, 555000
Benjamín, Sánchez, Vargas, SALL91, 666111
Trinidad, León, Suárez, SALL92, 777222
Lorenzo, Pérez, Martínez, SALL93, 888333
Florencia, Díaz, Muñoz, SALL94, 999444
Agustín, Salazar, Castro, SALL95, 111555
Antonia, Gómez, Torres, SALL96, 222666
Sebastián, Soto, Fernández, SALL97, 333777
Valentina, Ramírez, Herrera, SALL98, 444888
Matías, Navarro, Ramírez, SALL99, 555999
Amanda, Muñoz, Salazar, SALL100, 666000
León, Castro, Gómez, SALL101, 777111
Constanza, Vargas, León, SALL102, 888222
Matías, Pérez, Muñoz, SALL103, 999333
Renata, Vega, Ramírez, SALL104, 111444
Mariano, Mendoza, Sánchez, SALL105, 222555
Sofía, Herrera, Castro, SALL106, 333666
Emiliano, Suárez, Torres, SALL107, 444777
Camila, Delgado, Rodríguez, SALL108, 555888
Franco, Sánchez, Vargas, SALL109, 666999
Valentina, Ramírez, Castro, SALL110, 777000
Maximiliano, Pérez, Sánchez, SALL111, 888111
Isabella, Torres, Rodríguez, SALL112, 999222
Emilia, Muñoz, Herrera, SALL113, 111333
Diego, Fernández, Gómez, SALL114, 222444
Luciana, Salazar, Suárez, SALL115, 333555
Joaquín, Vega, Torres, SALL116, 444666
Antonia, Soto, Ramírez, SALL117, 555777
Matías, León, Díaz, SALL118, 666888
Agustina, Castro, Martínez, SALL119, 777999
Lucas, Mendoza, Vargas, SALL120, 888000
Martina, Ramírez, Herrera, SALL121, 999111
Miguel, Muñoz, Salazar, SALL122, 111222
Florencia, Pérez, Rodríguez, SALL123, 222333
Tomás, Sánchez, Torres, SALL124, 333444
Valentina, Gómez, Suárez, SALL125, 444555
Lautaro, Salazar, Vega, SALL126, 555666
Renata, Castro, Sánchez, SALL127, 666777
Mariano, Delgado, Ramírez, SALL128, 777888
