Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Lucía, Suárez, Ramírez, SAN1, 222111
Juan, Torres, Pérez, SAN2, 333222
Sofía, Salazar, Martínez, SAN3, 444333
Andrés, Rodríguez, Díaz, SAN4, 555444
Isabella, Sánchez, Muñoz, SAN5, 666555
Mateo, Fernández, Castro, SAN6, 777666
Camila, Pérez, Salazar, SAN7, 888777
Martín, Gómez, Ramírez, SAN8, 999888
Antonia, Muñoz, Vargas, SAN9, 111999
Santiago, Suárez, Sánchez, SAN10, 222000
Joaquín, Castro, Torres, SAN11, 333111
Constanza, Delgado, Gómez, SAN12, 444222
Renata, Vega, Salazar, SAN13, 555333
Luciano, Ramírez, Soto, SAN14, 666444
Isabella, Díaz, León, SAN15, 777555
Valentina, Mendoza, Fernández, SAN16, 888666
Gabriel, Torres, Suárez, SAN17, 999777
Mariana, Castro, Gómez, SAN18, 111888
Lautaro, Salazar, Pérez, SAN19, 222999
Florencia, Sánchez, Torres, SAN20, 333000
Juan, Suárez, Ramírez, SAN21, 444111
Sofía, Torres, Pérez, SAN22, 555222
Lucía, Salazar, Martínez, SAN23, 666333
Andrés, Rodríguez, Díaz, SAN24, 777444
Isabella, Sánchez, Muñoz, SAN25, 888555
Mateo, Fernández, Castro, SAN26, 999666
Camila, Pérez, Salazar, SAN27, 111777
Martín, Gómez, Ramírez, SAN28, 222888
Antonia, Muñoz, Vargas, SAN29, 333999
Santiago, Suárez, Sánchez, SAN30, 444000
Joaquín, Castro, Torres, SAN31, 555111
Constanza, Delgado, Gómez, SAN32, 666222
Renata, Vega, Salazar, SAN33, 777333
Luciano, Ramírez, Soto, SAN34, 888444
Isabella, Díaz, León, SAN35, 999555
Valentina, Mendoza, Fernández, SAN36, 111666
Gabriel, Torres, Suárez, SAN37, 222777
Mariana, Castro, Gómez, SAN38, 333888
Lautaro, Salazar, Pérez, SAN39, 444999
Florencia, Sánchez, Torres, SAN40, 555000
Lucía, Suárez, Ramírez, SAN41, 666111
Juan, Torres, Pérez, SAN42, 777222
Sofía, Salazar, Martínez, SAN43, 888333
Andrés, Rodríguez, Díaz, SAN44, 999444
Isabella, Sánchez, Muñoz, SAN45, 111555
Mateo, Fernández, Castro, SAN46, 222666
Camila, Pérez, Salazar, SAN47, 333777
Martín, Gómez, Ramírez, SAN48, 444888
Antonia, Muñoz, Vargas, SAN49, 555999
Santiago, Suárez, Sánchez, SAN50, 666000
Joaquín, Castro, Torres, SAN51, 777111
Constanza, Delgado, Gómez, SAN52, 888222
Renata, Vega, Salazar, SAN53, 999333
Luciano, Ramírez, Soto, SAN54, 111444
Isabella, Díaz, León, SAN55, 222555
Valentina, Mendoza, Fernández, SAN56, 333666
Gabriel, Torres, Suárez, SAN57, 444777
Mariana, Castro, Gómez, SAN58, 555888
Lautaro, Salazar, Pérez, SAN59, 666999
Florencia, Sánchez, Torres, SAN60, 777000
Juan, Suárez, Ramírez, SAN61, 444111
Sofía, Torres, Pérez, SAN62, 555222
Lucía, Salazar, Martínez, SAN63, 666333
Andrés, Rodríguez, Díaz, SAN64, 777444
Isabella, Sánchez, Muñoz, SAN65, 888555
Mateo, Fernández, Castro, SAN66, 999666
