Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Lautaro, Salazar, Pérez, VEN79, 444999
Florencia, Sánchez, Torres, VEN80, 555000
Juan, Suárez, Ramírez, VEN81, 444111
Sofía, Torres, Pérez, VEN82, 555222
Lucía, Salazar, Martínez, VEN83, 666333
Andrés, Rodríguez, Díaz, VEN84, 777444
Isabella, Sánchez, Muñoz, VEN85, 888555
Mateo, Fernández, Castro, VEN86, 999666
Camila, Pérez, Salazar, VEN87, 111777
Martín, Gómez, Ramírez, VEN88, 222888
Antonia, Muñoz, Vargas, VEN89, 333999
Santiago, Suárez, Sánchez, VEN90, 444000
Joaquín, Castro, Torres, VEN91, 555111
Constanza, Delgado, Gómez, VEN92, 666222
Renata, Vega, Salazar, VEN93, 777333
Luciano, Ramírez, Soto, VEN94, 888444
Isabella, Díaz, León, VEN95, 999555
Valentina, Mendoza, Fernández, VEN96, 111666
Gabriel, Torres, Suárez, VEN97, 222777
Mariana, Castro, Gómez, VEN98, 333888
Lautaro, Salazar, Pérez, VEN99, 444999
Florencia, Sánchez, Torres, VEN100, 555000
