Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Juan, Suárez, Ramírez, VEN1, 444111
Sofía, Torres, Pérez, VEN2, 555222
Lucía, Salazar, Martínez, VEN3, 666333
Andrés, Rodríguez, Díaz, VEN4, 777444
Isabella, Sánchez, Muñoz, VEN5, 888555
Mateo, Fernández, Castro, VEN6, 999666
Camila, Pérez, Salazar, VEN7, 111777
Martín, Gómez, Ramírez, VEN8, 222888
Antonia, Muñoz, Vargas, VEN9, 333999
Santiago, Suárez, Sánchez, VEN10, 444000
Joaquín, Castro, Torres, VEN11, 555111
Constanza, Delgado, Gómez, VEN12, 666222
Renata, Vega, Salazar, VEN13, 777333
Luciano, Ramírez, Soto, VEN14, 888444
Isabella, Díaz, León, VEN15, 999555
Valentina, Mendoza, Fernández, VEN16, 111666
Gabriel, Torres, Suárez, VEN17, 222777
Mariana, Castro, Gómez, VEN18, 333888
Lautaro, Salazar, Pérez, VEN19, 444999
Florencia, Sánchez, Torres, VEN20, 555000
Juan, Suárez, Ramírez, VEN21, 444111
Sofía, Torres, Pérez, VEN22, 555222
Lucía, Salazar, Martínez, VEN23, 666333
Andrés, Rodríguez, Díaz, VEN24, 777444
Isabella, Sánchez, Muñoz, VEN25, 888555
Mateo, Fernández, Castro, VEN26, 999666
Camila, Pérez, Salazar, VEN27, 111777
Martín, Gómez, Ramírez, VEN28, 222888
Antonia, Muñoz, Vargas, VEN29, 333999
Santiago, Suárez, Sánchez, VEN30, 444000
Joaquín, Castro, Torres, VEN31, 555111
Constanza, Delgado, Gómez, VEN32, 666222
Renata, Vega, Salazar, VEN33, 777333
Luciano, Ramírez, Soto, VEN34, 888444
Isabella, Díaz, León, VEN35, 999555
Valentina, Mendoza, Fernández, VEN36, 111666
Gabriel, Torres, Suárez, VEN37, 222777
Mariana, Castro, Gómez, VEN38, 333888
Lautaro, Salazar, Pérez, VEN39, 444999
Florencia, Sánchez, Torres, VEN40, 555000
Juan, Suárez, Ramírez, VEN41, 444111
Sofía, Torres, Pérez, VEN42, 555222
Lucía, Salazar, Martínez, VEN43, 666333
